Date,Close/Last,Volume,Open,High,Low
06/27/2025,73.28,11610840,74.02,74.34,72.87
06/26/2025,73.59,9514916,73.63,74.68,73.09
06/25/2025,73.31,12401010,72.93,74.23,72.79
06/24/2025,73.00,16119600,73.34,73.86,71.97
06/23/2025,76.41,50659360,83.25,83.57,76.41
06/20/2025,83.12,14229010,82.25,83.38,81.86
06/18/2025,82.27,36772280,83.10,83.46,80.16
06/17/2025,82.30,26239280,80.44,82.89,80.09
06/16/2025,78.59,40622390,79.012,79.60,76.25
06/13/2025,80.22,33971200,80.47,81.14,78.64
06/12/2025,75.05,11696870,74.01,75.41,73.75
06/11/2025,74.82,8887977,73.02,75.32,72.80
06/10/2025,71.60,5541851,72.17,73.07,71.26
06/09/2025,72.05,2893872,71.40,72.175,71.08
06/06/2025,71.38,3487995,70.36,71.515,70.36
06/05/2025,69.93,2668184,70.43,70.61,69.79
06/04/2025,69.34,6455231,70.00,70.56,68.64
06/03/2025,69.89,3996916,69.62,70.50,69.37
06/02/2025,69.55,7125107,69.99,70.04,68.64
05/30/2025,67.15,8793170,67.10,67.25,65.96
05/29/2025,67.19,4856870,67.63,67.64,66.78
05/28/2025,67.89,5201843,68.33,68.96,67.825
05/27/2025,67.28,3938194,67.48,67.60,66.475
05/23/2025,67.99,4285422,66.97,68.22,66.96
05/22/2025,67.14,3512517,66.88,67.55,66.57
05/21/2025,67.59,5467394,69.14,69.16,67.57
05/20/2025,68.66,2786093,68.37,68.80,67.78
05/19/2025,68.51,5136884,68.11,69.10,67.88
05/16/2025,68.10,3769410,67.83,68.54,67.42
05/15/2025,67.59,5263445,67.41,67.79,66.87
05/14/2025,68.73,2802450,69.28,69.55,68.70
05/13/2025,69.59,4728018,68.45,69.88,68.40
05/12/2025,67.60,4861861,69.08,69.28,67.48
05/09/2025,66.61,4361322,65.96,66.82,65.87
05/08/2025,65.60,4643878,64.44,65.74,64.43
05/07/2025,63.51,4011343,64.41,64.67,63.26
05/06/2025,64.60,5745694,64.70,65.41,64.46
05/05/2025,62.37,4867076,62.85,63.02,61.75
05/02/2025,64.01,7095854,64.53,64.60,63.11
05/01/2025,64.52,10673860,63.59,65.08,63.095
04/30/2025,63.56,10236280,65.45,65.72,63.30
04/29/2025,65.85,4650027,66.69,66.81,65.825
04/28/2025,67.76,3232717,68.87,69.04,67.17
04/25/2025,69.03,3272184,68.05,69.18,68.04
04/24/2025,68.46,4336560,68.65,68.855,67.70
04/23/2025,68.05,8908454,68.99,69.81,67.19
04/22/2025,69.37,4498973,68.89,70.27,68.72
04/21/2025,68.62,2343047,68.27,68.655,67.44
04/17/2025,69.48,4776754,68.35,70.05,68.15
04/16/2025,67.75,5452117,66.99,67.97,66.99
04/15/2025,66.48,1779225,66.47,66.92,65.915
04/14/2025,66.66,3146188,67.12,67.129,65.62
04/11/2025,66.46,4386236,64.65,66.79,64.50
04/10/2025,65.32,6596688,64.77,65.47,63.60
04/09/2025,67.58,15312980,61.73,68.045,60.67
04/08/2025,63.34,8411254,66.60,66.80,62.74
